state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,1.4,38.8,8,5.5,75.2,1.7,4.7,4.9,0.01,3.96,0.93,13853
Alabama,1.59,22.33,26.78,3.61,60.1,1.32,3.33,4.86,0.23,3.8,0.83,10831
Alabama,2.77,36.4,14.37,4.98,65.96,1.39,8.51,4.79,0.44,3.07,1.28,12157
Alabama,1.4,33.6,20.9,4.9,63.6,1.5,4.5,4.7,0.01,4.4,0.32,11597
Alabama,2.2,39.9,11.1,5.3,70.4,1.5,7,4.7,0.02,2.81,1.82,13005
Alabama,2.9,33.8,17.8,5.3,63.2,1.3,7.7,4.7,0.25,3.42,1.07,11566
Alabama,2.38,31.23,19.34,4.62,62.23,1.35,7.76,4.7,0.19,2.84,1.67,11409
Alabama,1.8,39.2,11.9,5.4,69.6,1.6,6.8,4.6,0.01,3.83,0.76,12919
Alabama,1.6,36.7,15.4,4.8,67,1.3,6.9,4.6,0.01,3.28,1.35,12275
Alabama,2.2,38.3,11.6,5.3,69.7,1.6,7.1,4.6,0.02,3.54,1.07,12730
Alabama,1.96,35.83,8.57,5.19,73.61,1.79,6.25,4.59,0.32,2.41,1.86,13397
Alabama,1.75,31.15,19.45,4.8,64.45,1.65,5.2,4.5,0.01,4.18,0.32,11718
Alabama,1.9,36.5,10.8,5.1,72.8,1.6,5.2,4.5,0.02,3.64,0.81,13280
Alabama,2.3,38.5,15.4,5.1,66.6,1.4,7,4.5,0.03,3,1.49,12263
Alabama,2.14,36.62,16.63,4.94,65.42,1.44,7.07,4.5,0.17,4,0.33,12069
Alabama,2,39.5,10.3,5.3,72,1.6,6.4,4.4,0.01,3.75,0.66,13174
Alabama,2.2,33.5,22.8,4.4,60,1.4,7,4.4,0.01,3.5,0.93,10903
Alabama,2.5,33,22.6,4.7,58.6,1.3,8.3,4.4,0.01,4.3,0.09,10688
Alabama,2.4,22.92,17.9,4.31,66.92,1.42,5.14,4.31,0.24,3.37,0.7,12109
Alabama,1.8,31,20.4,4.7,64.9,1.4,4.3,4.3,0.01,3.23,1.09,11741
Alabama,1.6,34.1,17.1,5,66.6,1.4,5.6,4.3,0.03,3.58,0.66,12033
Alabama,2.8,39.1,8.8,5.6,71.5,1.8,8,4.3,0.05,2.54,1.66,13158
Alabama,2.76,36.93,17.38,5.02,64.05,1.6,7.66,4.29,0.08,2.72,1.49,11779
Alabama,2.78,26.68,10.52,4.76,73.41,1.49,5.61,4.21,0.53,2.25,1.43,13075
Alabama,1.5,27.4,29,3.9,57.8,1.2,3.9,4.2,0.02,3.77,0.38,10372
Alabama,1.9,31.1,22.7,4.7,61.7,1.4,5.3,4.2,0.08,3.21,0.89,11191
Alabama,1.9,36.5,10.9,5.2,72.3,1.6,5.8,4.2,0.01,3.77,0.44,13161
Alabama,1.6,40.4,10.2,5.4,72.2,1.6,6.3,4.2,0.01,3.42,0.81,13279
Alabama,1.6,38.6,16.9,4.9,66.2,1.3,6.4,4.2,0.01,3.4,0.82,12262
Alabama,1.9,36.6,14.7,5.1,67.5,1.4,7.1,4.2,0.09,3.31,0.83,12374
